Ссылка,Метро,Время до метро,Количество комнат,Общая площадь,Жилая площадь,Этаж,Этажность дома,Срок сдачи,Тип жилья,Высота потолков,Ванная,Вид из окна,Цена
https://www.cian.ru/sale/flat/241590531/,Коломенская,2.0,3.0,54.0,39.0,5,16,1970.0,Вторичка,2.7,1 раздельный,На улицу,12800000
https://www.cian.ru/sale/flat/234649187/,Выставочная,3.0,1.0,45.5,,57,68,2020.0,Новостройка Апартаменты,,1 совмещенный,На улицу,29120000
https://www.cian.ru/sale/flat/256417659/,Филатов Луг,,3.0,106.5,,2,4,,Вторичка,3.0,"1 совмещенный, 1 раздельный",На улицу и двор,12800000
https://www.cian.ru/sale/flat/251892313/,Рязанский проспект,1.0,2.0,64.2,40.0,2,5,,Вторичка,,1 раздельный,На улицу,14500000
https://www.cian.ru/sale/flat/253793922/,Саларьево,30.0,1.0,31.8,17.4,5,5,,Вторичка,2.5,1 совмещенный,Во двор,4700000
https://www.cian.ru/sale/flat/238392785/,Кропоткинская,,5.0,250.0,,3,4,,Вторичка,3.8,,На улицу и двор,250000000
https://www.cian.ru/sale/flat/254137121/,Дубровка,6.0,2.0,67.0,40.0,18,30,2012.0,Вторичка,3.0,1 совмещенный,Во двор,27000000
https://www.cian.ru/sale/flat/152751799/,Новослободская,2.0,,350.0,215.0,17,17,2002.0,Вторичка Пентхаус,3.6,2 совмещенных,На улицу и двор,118000000
https://www.cian.ru/sale/flat/228908860/,Крылатское,,,375.0,200.0,4,4,,Вторичка,,4 раздельных,На улицу и двор,261019500
https://www.cian.ru/sale/flat/197316947/,Киевская,13.0,4.0,219.3,,3,7,2009.0,Вторичка,,4 совмещенных,,194640420
https://www.cian.ru/sale/flat/239937006/,Фрунзенская,5.0,2.0,118.0,20.0,4,14,2013.0,Вторичка,,2 совмещенных,,228328185
https://www.cian.ru/sale/flat/253645518/,Парк Культуры,7.0,5.0,188.0,,3,7,2010.0,Вторичка,,3 совмещенных,,266239890
https://www.cian.ru/sale/flat/251081587/,Киевская,3.0,3.0,110.0,,5,7,,Вторичка Апартаменты,3.3,"2 совмещенных, 2 раздельных",,110000000
https://www.cian.ru/sale/flat/255696146/,Беговая,1.0,3.0,87.0,52.0,27,37,,Вторичка,3.0,2 совмещенных,Во двор,33000000
https://www.cian.ru/sale/flat/252852190/,Университет,2.0,2.0,72.0,50.0,6,9,1956.0,Вторичка,,1 раздельный,Во двор,23000000
https://www.cian.ru/sale/flat/181025527/,Чкаловская,8.0,3.0,88.6,52.0,2,5,1912.0,Вторичка,,1 раздельный,Во двор,40000000
https://www.cian.ru/sale/flat/256406378/,Щелковская,10.0,2.0,62.0,35.7,11,14,,Вторичка,,1 раздельный,,14600000
https://www.cian.ru/sale/flat/243584871/,Новослободская,2.0,5.0,245.0,143.0,10,10,,Вторичка,3.0,3 раздельных,На улицу и двор,120000000
https://www.cian.ru/sale/flat/255829352/,ЦСКА,1.0,1.0,33.0,,6,15,2016.0,Вторичка Апартаменты,,,,11500000
https://www.cian.ru/sale/flat/255175609/,Калужская,3.0,1.0,22.0,12.0,1,16,1975.0,Вторичка Апартаменты,,,Во двор,3100000
https://www.cian.ru/sale/flat/256406811/,Царицыно,3.0,3.0,56.4,39.0,8,9,1974.0,Вторичка,2.64,1 раздельный,Во двор,12500000
https://www.cian.ru/sale/flat/255196895/,Печатники,2.0,1.0,34.47,20.0,14,16,,Вторичка,2.5,1 совмещенный,Во двор,8800000
https://www.cian.ru/sale/flat/253788529/,Люблино,2.0,2.0,40.3,26.3,3,5,1963.0,Вторичка,2.64,1 совмещенный,На улицу и двор,9250000
https://www.cian.ru/sale/flat/250426504/,Озерная,1.0,1.0,39.0,19.0,6,16,,Вторичка,,1 раздельный,,10700000
https://www.cian.ru/sale/flat/224338640/,Чеховская,7.0,3.0,157.8,126.0,5,6,,Вторичка,,1 совмещенный,На улицу и двор,262015950
https://www.cian.ru/sale/flat/256476157/,Новогиреево,15.0,1.0,35.0,,1,12,1974.0,Вторичка,2.48,1 совмещенный,,7499999
https://www.cian.ru/sale/flat/228824921/,Октябрьская,6.0,,658.0,450.0,18,22,2006.0,Вторичка Пентхаус,,4 совмещенных,На улицу и двор,299446800
https://www.cian.ru/sale/flat/248588997/,Бауманская,2.0,3.0,98.0,,10,12,2021.0,Новостройка Апартаменты,,,,34501292
https://www.cian.ru/sale/flat/214079703/,Кропоткинская,10.0,5.0,188.8,95.0,5,7,,Вторичка,3.2,4 раздельных,На улицу и двор,170000000
https://www.cian.ru/sale/flat/255459294/,Теплый Стан,60.0,2.0,37.9,20.4,1,3,,Вторичка,2.6,1 совмещенный,,6650000
https://www.cian.ru/sale/flat/256309256/,Некрасовка,2.0,2.0,60.4,34.0,2,25,2016.0,Вторичка,,1 раздельный,На улицу и двор,12200000
https://www.cian.ru/sale/flat/250928020/,Первомайская,15.0,1.0,14.7,,2,5,1952.0,Вторичка,3.0,1 совмещенный,Во двор,5300000
https://www.cian.ru/sale/flat/255408178/,Щербинка,10.0,1.0,39.0,,1,3,,Вторичка,,1 совмещенный,,6700000
